title,company,location,link
Бизнес-аналитик,Тинькофф,"Москва, Водный стадион",https://hh.ru/vacancy/36705054?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Специалист по описанию бизнес-процессов / Бизнес-аналитик,ООО Питер Оптика,"Санкт-Петербург, Комендантский проспект",https://hh.ru/vacancy/42199582?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес аналитик (внедрение Amocrm и Битрикс24),Nikolaev.group,Санкт-Петербург,https://hh.ru/vacancy/42040354?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Доверенная среда,"Москва, Румянцево",https://hh.ru/vacancy/41811637?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,ПАО Ростелеком,"Москва, Румянцево",https://hh.ru/vacancy/41968187?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-Аналитик Anaplan,Team Value,Москва,https://hh.ru/vacancy/41202590?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (Ипотечный бизнес),АО Банк ДОМ.РФ,Москва,https://hh.ru/vacancy/42143768?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,Сеть магазинов цифровой и бытовой техники DNS,Владивосток,https://hh.ru/vacancy/41440490?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,Медипал,Москва,https://hh.ru/vacancy/41764995?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Шеф Маркет,"Москва, Кантемировская и еще 1 ",https://hh.ru/vacancy/40440290?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ведущий бизнес-аналитик,ООО Техноинформ,Москва,https://hh.ru/vacancy/41840893?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик / Ведущий (Корпоративный проектный офис),S8 Capital,"Москва, Международная",https://hh.ru/vacancy/40792829?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,ПАО Ростелеком,Воронеж,https://hh.ru/vacancy/41968310?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ведущий бизнес-аналитик,Diamond Personnel R&C,Москва,https://hh.ru/vacancy/42208144?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик SAP ERP,Комус,"Москва, Бауманская",https://hh.ru/vacancy/42226927?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик ИТС,ООО Ростелематика,"Москва, Достоевская и еще 1 ",https://hh.ru/vacancy/41732352?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
